title,link,published,category,content
"Isi Kelas Retret Pengusaha di Magelang, Menko AHY Minta Kadin Genjot Investasi Infrastruktur",https://www.idxchannel.com/economics/isi-kelas-retret-pengusaha-di-magelang-menko-ahy-minta-kadin-genjot-investasi-infrastruktur,2025-08-09 20:32:00+07:00,economics,
Momen Prabowo Disambut Hangat Diaspora Indonesia saat Kunjungi Singapura,https://www.idxchannel.com/news/momen-prabowo-disambut-hangat-diaspora-indonesia-saat-kunjungi-singapura,2025-08-09 20:00:00+07:00,news,
"Gerakkan Ekonomi Umat, Wamenkop Diapresiasi MUI",https://www.idxchannel.com/economics/gerakkan-ekonomi-umat-wamenkop-diapresiasi-mui,2025-08-09 19:30:00+07:00,economics,
Menteri Wihaji Minta Pendistribusian Program MBG Kelompok 3B Lebih Gencar,https://www.idxchannel.com/news/menteri-wihaji-minta-pendistribusian-program-mbg-kelompok-3b-lebih-gencar,2025-08-09 19:07:00+07:00,news,
"Film Horor Weapons Raih Rating 96 Persen di Rotten Tomatoes, Catatkan Sales USD5,7 Juta",https://www.idxchannel.com/ecotainment/film-horor-weapons-raih-rating-96-persen-di-rotten-tomatoes-catatkan-sales-usd57-juta,2025-08-09 18:33:00+07:00,ecotainment,
250 Ribu Kendaraan Melintas Jalan Tol Trans Sumatera per Hari pada Paruh Pertama 2025,https://www.idxchannel.com/news/250-ribu-kendaraan-melintas-jalan-tol-trans-sumatera-per-hari-pada-paruh-pertama-2025,2025-08-09 18:00:00+07:00,news,
Sri Mulyani Sebut Anggaran Sekolah Rakyat untuk Kemensos dan Kemen PU Capai Rp7 Triliun,https://www.idxchannel.com/news/sri-mulyani-sebut-anggaran-sekolah-rakyat-untuk-kemensos-dan-kemen-pu-capai-rp7-triliun,2025-08-09 17:35:00+07:00,news,
Siapa Pemilik Saham WIFI? Begini Proporsi Kepemilikan Sahamnya,https://www.idxchannel.com/market-news/siapa-pemilik-saham-wifi-begini-proporsi-kepemilikan-sahamnya,2025-08-09 17:29:00+07:00,market-news,"Siapa pemilik saham WIFI? PT Solusi Sinergi Digital Tbk (WIFI) adalah emiten sektor teknologi yang bergerak di bidang perikalanan, produk dan layanan digital, juga jaringan serat optik lewat anak usahanya. Salah satu pemilik WIFI adalah Hashim Djojohadikusumo, secara tidak langsung Hashim memiliki WIFI dari kepemilikannya atas PT Investasi Sukses Bersama, yang tak lain adalah perusahaan yang menguasai saham WIFI. Melansir profil perusahaan di Bursa Efek Indonesia (9/8/2025), PT Investasi Sukses Bersama memiliki 2.848.251.929 saham, atau setara dengan 53,65 persen dari total saham yang terdaftar di bursa. Proporsi kepemilikan Investasi Sukses Bersama menjadikannya sebagai pemegang saham pengendali di WIFI. Kepemilikan di atas lima persen selanjutnya berada di tangan Djoni sebesar 270 juta saham, setara 5,09 persen. Sisanya dipegang oleh Tinawati sebanyak 15,18 juta saham, setara 0,29 persen dari total saham terdaftar. Sementara masyarakar menguasai 2.175.109.586 saham, atau setara dengan 40,97 persen. Melalui keterbukaan informasi pada 10 Januari 2025, WIFI melaporkan perubahan pemegang saham. Tinawati yang sebelumnya memegang kendali atas saham PT Investasi Sukses Bersama, menjual 45 persen sahamnya ke PT Arsari Sentra Data. Akuisisi tersebut membuat Arsari Sentra Data yang dimiliki Hashim menjadi salah satu pemegang saham mayoritas WIFI secara tak langsung, dengan proporsi kepemilikan saham sekitar 22,55 persen. WIFI melantai di Bursa Efek Indonesia pada 30 Desember 2020 dengan harga penawaran sebesar Rp530 per saham. Dari penawaran saham perdana ini, WIFI menghimpun dana segar sebanyak Rp82,97 miliar. Pada perdagangan terakhir, Kamis 9 Agustus 2025, harga WIFI ditutup di level Rp2.560 per saham, turun 2,29 persen dari pembukaan terakhir. Dalam satu bulan terakhir, WIFI telah mencatatkan kenaikan harga hingga 27,36 persen. Itulah penjelasan singkat tentang siapa pemilik saham WIFI. (Nadya Kurnia)"
"Whoosh Tambah Enam Perjalanan Khusus Hari Minggu Besok, Intip Rinciannya",https://www.idxchannel.com/news/whoosh-tambah-enam-perjalanan-khusus-hari-minggu-besok-intip-rinciannya,2025-08-09 17:00:00+07:00,news,
"Denda Kartu Kuning dan Merah di Indonesia Super League, Segini yang Harus Dibayar",https://www.idxchannel.com/ecotainment/denda-kartu-kuning-dan-merah-di-indonesia-super-league-segini-yang-harus-dibayar,2025-08-09 16:30:00+07:00,ecotainment,
